,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,DAY,total_ask_vol,total_bid_vol,ask_vwap,bid_vwap,spread
0,1094.0,10.0,1093.0,3.0,1086.0,41.0,1102.0,10.0,1104.0,3.0,1111.0,41.0,1098.0,0.0,1098.25,0.9,10.5,-5.0,2100.0,70.0,1,54.0,54.0,1108.9444444444443,1087.8703703703704,8.0
100,1094.0,6.0,1093.0,2.0,1087.0,51.0,1102.0,6.0,1103.0,2.0,1110.0,51.0,1098.0,0.0,1098.25,0.9,9.5,-5.0,2099.757,70.02271,1,59.0,59.0,1108.949152542373,1087.915254237288,8.0
200,1093.0,6.0,1092.0,3.0,1085.0,49.0,1101.0,6.0,1102.0,3.0,1108.0,49.0,1097.0,109600.0,1096.75,0.9,9.5,-5.0,2099.5132,70.045395,1,58.0,58.0,1106.9655172413793,1086.1896551724137,8.0
300,1093.0,10.0,1092.0,4.0,1085.0,52.0,1101.0,10.0,1102.0,4.0,1109.0,52.0,1097.0,109600.0,1097.0,0.9,9.5,-5.0,2099.2683,70.06803,1,66.0,66.0,1107.3636363636363,1086.6363636363637,8.0
400,1093.0,10.0,1092.0,3.0,1086.0,51.0,1101.0,10.0,1102.0,3.0,1109.0,51.0,1097.0,109600.0,1097.25,0.9,9.5,-5.0,2099.0225,70.09064,1,64.0,64.0,1107.421875,1087.375,8.0
500,1094.0,5.0,1093.0,4.0,1086.0,41.0,1102.0,5.0,1103.0,4.0,1109.0,41.0,1098.0,109600.0,1097.75,0.9,9.5,-5.0,2098.7756,70.1132,1,50.0,50.0,1107.82,1087.36,8.0
600,1093.0,10.0,1092.0,3.0,1086.0,49.0,1101.0,10.0,1102.0,3.0,1109.0,49.0,1097.0,109600.0,1097.25,0.9,9.5,-5.0,2098.528,70.13572,1,62.0,62.0,1107.3709677419354,1087.4193548387098,8.0
700,1093.0,6.0,1092.0,5.0,1086.0,41.0,1101.0,6.0,1102.0,5.0,1109.0,41.0,1097.0,109600.0,1097.25,0.9,9.5,-5.0,2098.2795,70.15821,1,52.0,52.0,1107.4038461538462,1087.3846153846155,8.0
800,1093.0,10.0,1092.0,3.0,1085.0,47.0,1101.0,10.0,1102.0,3.0,1108.0,47.0,1097.0,109600.0,1096.75,0.9,9.5,-5.0,2098.03,70.18066,1,60.0,60.0,1106.5333333333333,1086.6833333333334,8.0
900,1093.0,10.0,1092.0,5.0,1086.0,45.0,1101.0,10.0,1102.0,5.0,1109.0,45.0,1097.0,109600.0,1097.25,0.9,9.5,-5.0,2097.7795,70.20307,1,60.0,60.0,1107.0833333333333,1087.6666666666667,8.0
1000,1094.0,8.0,1092.0,3.0,1086.0,54.0,1101.0,8.0,1103.0,3.0,1109.0,54.0,1097.5,109600.0,1097.5,0.9,9.5,-5.0,2097.528,70.22544,1,65.0,65.0,1107.7384615384615,1087.2615384615385,7.0
1100,1092.0,10.0,1091.0,3.0,1085.0,57.0,1100.0,10.0,1101.0,3.0,1108.0,57.0,1096.0,109600.0,1096.25,0.9,9.5,-5.0,2097.276,70.24778,1,70.0,70.0,1106.557142857143,1086.2571428571428,8.0
1200,1094.0,9.0,1093.0,5.0,1087.0,49.0,1102.0,9.0,1103.0,5.0,1110.0,49.0,1098.0,109600.0,1098.25,0.9,9.5,-5.0,2097.0225,70.27007,1,63.0,63.0,1108.3015873015872,1088.4761904761904,8.0
1300,1094.0,6.0,1093.0,4.0,1086.0,39.0,1102.0,6.0,1103.0,4.0,1109.0,39.0,1098.0,109600.0,1097.75,0.9,9.5,-5.0,2096.7683,70.292336,1,49.0,49.0,1107.6530612244899,1087.5510204081634,8.0
1400,1095.0,5.0,1094.0,4.0,1087.0,45.0,1103.0,5.0,1104.0,4.0,1110.0,45.0,1099.0,109600.0,1098.75,0.9,9.5,-5.0,2096.5132,70.31456,1,54.0,54.0,1108.9074074074074,1088.2592592592594,8.0
1500,1094.0,9.0,1093.0,2.0,1086.0,54.0,1102.0,9.0,1103.0,2.0,1109.0,54.0,1098.0,109600.0,1097.75,0.9,9.5,-5.0,2096.2573,70.33675,1,65.0,65.0,1107.8461538461538,1087.323076923077,8.0
1600,1094.0,7.0,1093.0,2.0,1087.0,42.0,1102.0,7.0,1103.0,2.0,1110.0,42.0,1098.0,109600.0,1098.25,0.9,9.5,-5.0,2096.0005,70.358894,1,51.0,51.0,1108.6274509803923,1088.1960784313726,8.0
1700,1095.0,8.0,1094.0,4.0,1087.0,50.0,1103.0,8.0,1104.0,4.0,1110.0,50.0,1099.0,109600.0,1098.75,0.9,9.5,-5.0,2095.7424,70.381004,1,62.0,62.0,1108.7096774193549,1088.483870967742,8.0
1800,1095.0,6.0,1094.0,4.0,1087.0,49.0,1103.0,6.0,1104.0,4.0,1110.0,49.0,1099.0,109600.0,1098.75,0.9,9.5,-5.0,2095.484,70.403076,1,59.0,59.0,1108.8813559322034,1088.2881355932204,8.0
1900,1097.0,5.0,1096.0,4.0,1089.0,40.0,1105.0,5.0,1106.0,4.0,1112.0,40.0,1101.0,109600.0,1100.75,0.9,9.5,-5.0,2095.224,70.42511,1,49.0,49.0,1110.795918367347,1090.3877551020407,8.0
2000,1097.0,8.0,1096.0,2.0,1089.0,41.0,1105.0,8.0,1106.0,2.0,1112.0,41.0,1101.0,109600.0,1100.75,0.9,9.5,-5.0,2094.9636,70.44711,1,51.0,51.0,1110.6666666666667,1090.5294117647059,8.0
2100,1097.0,7.0,1096.0,3.0,1089.0,48.0,1105.0,7.0,1106.0,3.0,1112.0,48.0,1101.0,109600.0,1100.75,0.9,9.5,-5.0,2094.7021,70.46907,1,58.0,58.0,1110.844827586207,1090.3275862068965,8.0
2200,1098.0,7.0,1097.0,2.0,1090.0,48.0,1106.0,7.0,1107.0,2.0,1113.0,48.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2094.4397,70.491,1,57.0,57.0,1111.9298245614036,1091.2280701754387,8.0
2300,1099.0,9.0,1098.0,4.0,1091.0,47.0,1107.0,9.0,1108.0,4.0,1114.0,47.0,1103.0,109600.0,1102.75,0.9,9.5,-5.0,2094.1765,70.512886,1,60.0,60.0,1112.55,1092.6666666666667,8.0
2400,1099.0,10.0,1098.0,3.0,1091.0,51.0,1107.0,10.0,1108.0,3.0,1114.0,51.0,1103.0,109600.0,1102.75,0.9,9.5,-5.0,2093.9124,70.53474,1,64.0,64.0,1112.625,1092.578125,8.0
2500,1096.0,10.0,1095.0,3.0,1089.0,48.0,1104.0,10.0,1105.0,3.0,1112.0,48.0,1100.0,109600.0,1100.25,0.9,9.5,-5.0,2093.6472,70.55655,1,61.0,61.0,1110.344262295082,1090.4426229508197,8.0
2600,1094.0,6.0,1093.0,5.0,1087.0,36.0,1102.0,6.0,1103.0,5.0,1110.0,36.0,1098.0,109600.0,1098.25,0.9,9.5,-5.0,2093.381,70.57833,1,47.0,47.0,1108.2340425531916,1088.531914893617,8.0
2700,1095.0,8.0,1094.0,3.0,1087.0,48.0,1103.0,8.0,1104.0,3.0,1110.0,48.0,1099.0,109600.0,1098.75,0.9,9.5,-5.0,2093.1143,70.60007,1,59.0,59.0,1108.7457627118645,1088.4406779661017,8.0
2800,1096.0,8.0,1095.0,5.0,1088.0,42.0,1104.0,8.0,1105.0,5.0,1111.0,42.0,1100.0,109600.0,1099.75,0.9,9.5,-5.0,2092.8464,70.62177,1,55.0,55.0,1109.4363636363637,1089.8,8.0
2900,1098.0,10.0,1097.0,4.0,1090.0,47.0,1106.0,10.0,1107.0,4.0,1113.0,47.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2092.578,70.64344,1,61.0,61.0,1111.4590163934427,1091.7704918032787,8.0
3000,1098.0,10.0,1097.0,5.0,1091.0,48.0,1106.0,10.0,1107.0,5.0,1114.0,48.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2092.3083,70.66508,1,63.0,63.0,1112.1746031746031,1092.5873015873017,8.0
3100,1100.0,5.0,1099.0,3.0,1093.0,48.0,1108.0,5.0,1109.0,3.0,1116.0,48.0,1104.0,109600.0,1104.25,0.9,9.5,-5.0,2092.0378,70.68667,1,56.0,56.0,1114.9107142857142,1093.9464285714287,8.0
3200,1099.0,6.0,1098.0,5.0,1091.0,46.0,1107.0,6.0,1108.0,5.0,1114.0,46.0,1103.0,109600.0,1102.75,0.9,9.5,-5.0,2091.7666,70.70823,1,57.0,57.0,1112.7368421052631,1092.4561403508771,8.0
3300,1098.0,6.0,1097.0,3.0,1091.0,44.0,1106.0,6.0,1107.0,3.0,1114.0,44.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2091.4944,70.72975,1,53.0,53.0,1112.698113207547,1092.132075471698,8.0
3400,1098.0,6.0,1097.0,2.0,1091.0,50.0,1106.0,6.0,1107.0,2.0,1114.0,50.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2091.2212,70.75124,1,58.0,58.0,1112.9310344827586,1091.9310344827586,8.0
3500,1098.0,6.0,1097.0,3.0,1090.0,41.0,1106.0,6.0,1107.0,3.0,1114.0,41.0,1102.0,109600.0,1102.0,0.9,9.5,-5.0,2090.9473,70.77269,1,50.0,50.0,1112.62,1091.38,8.0
3600,1098.0,8.0,1097.0,5.0,1090.0,53.0,1106.0,8.0,1107.0,5.0,1113.0,53.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2090.6724,70.794106,1,66.0,66.0,1111.6969696969697,1091.5,8.0
3700,1097.0,5.0,1096.0,3.0,1090.0,45.0,1105.0,5.0,1106.0,3.0,1113.0,45.0,1101.0,109600.0,1101.25,0.9,9.5,-5.0,2090.3967,70.81548,1,53.0,53.0,1111.8490566037735,1091.0,8.0
3800,1098.0,10.0,1097.0,5.0,1091.0,50.0,1106.0,10.0,1107.0,5.0,1114.0,50.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2090.12,70.83683,1,65.0,65.0,1112.2307692307693,1092.5384615384614,8.0
3900,1098.0,8.0,1097.0,3.0,1091.0,45.0,1106.0,8.0,1107.0,3.0,1114.0,45.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2089.8425,70.85814,1,56.0,56.0,1112.482142857143,1092.3214285714287,8.0
4000,1099.0,10.0,1098.0,4.0,1092.0,56.0,1107.0,10.0,1108.0,4.0,1115.0,56.0,1103.0,109600.0,1103.25,0.9,9.5,-5.0,2089.5642,70.87941,1,70.0,70.0,1113.4571428571428,1093.3428571428572,8.0
4100,1099.0,8.0,1098.0,5.0,1092.0,44.0,1107.0,8.0,1108.0,5.0,1115.0,44.0,1103.0,109600.0,1103.25,0.9,9.5,-5.0,2089.2852,70.90064,1,57.0,57.0,1113.2631578947369,1093.5087719298247,8.0
4200,1099.0,6.0,1098.0,5.0,1091.0,52.0,1107.0,6.0,1108.0,5.0,1114.0,52.0,1103.0,109600.0,1102.75,0.9,9.5,-5.0,2089.005,70.921844,1,63.0,63.0,1112.857142857143,1092.3174603174602,8.0
4300,1100.0,9.0,1099.0,5.0,1092.0,51.0,1108.0,9.0,1109.0,5.0,1115.0,51.0,1104.0,109600.0,1103.75,0.9,9.5,-5.0,2088.724,70.94301,1,65.0,65.0,1113.5692307692307,1093.6461538461538,8.0
4400,1100.0,5.0,1099.0,5.0,1092.0,43.0,1108.0,5.0,1109.0,5.0,1116.0,43.0,1104.0,109600.0,1104.0,0.9,9.5,-5.0,2088.4421,70.964134,1,53.0,53.0,1114.5849056603774,1093.4150943396226,8.0
4500,1100.0,7.0,1099.0,5.0,1093.0,44.0,1108.0,7.0,1109.0,5.0,1116.0,44.0,1104.0,109600.0,1104.25,0.9,9.5,-5.0,2088.1594,70.98523,1,56.0,56.0,1114.375,1094.4107142857142,8.0
4600,1100.0,9.0,1099.0,3.0,1093.0,42.0,1108.0,9.0,1109.0,3.0,1116.0,42.0,1104.0,109600.0,1104.25,0.9,9.5,-5.0,2087.876,71.00629,1,54.0,54.0,1114.2777777777778,1094.5,8.0
4700,1099.0,6.0,1098.0,3.0,1092.0,52.0,1107.0,6.0,1108.0,3.0,1115.0,52.0,1103.0,109600.0,1103.25,0.9,9.5,-5.0,2087.5916,71.02731,1,61.0,61.0,1113.8688524590164,1092.983606557377,8.0
4800,1099.0,8.0,1098.0,2.0,1091.0,53.0,1107.0,8.0,1108.0,2.0,1115.0,53.0,1103.0,109600.0,1103.0,0.9,9.5,-5.0,2087.3064,71.0483,1,63.0,63.0,1113.7619047619048,1092.2380952380952,8.0
4900,1098.0,5.0,1097.0,2.0,1090.0,47.0,1106.0,5.0,1107.0,2.0,1113.0,47.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2087.0203,71.06925,1,54.0,54.0,1112.1296296296296,1091.0,8.0
5000,1097.0,8.0,1096.0,4.0,1090.0,53.0,1105.0,8.0,1106.0,4.0,1113.0,53.0,1101.0,109600.0,1101.25,0.9,9.5,-5.0,2086.7332,71.09017,1,65.0,65.0,1111.5846153846153,1091.2307692307693,8.0
5100,1096.0,6.0,1095.0,2.0,1089.0,43.0,1104.0,6.0,1105.0,2.0,1112.0,43.0,1100.0,109600.0,1100.25,0.9,9.5,-5.0,2086.4456,71.11105,1,51.0,51.0,1110.7843137254902,1090.0588235294117,8.0
5200,1097.0,9.0,1096.0,2.0,1090.0,51.0,1105.0,9.0,1106.0,2.0,1113.0,51.0,1101.0,109600.0,1101.25,0.9,9.5,-5.0,2086.1567,71.131905,1,62.0,62.0,1111.6129032258063,1091.2096774193549,8.0
5300,1098.0,9.0,1097.0,5.0,1091.0,41.0,1106.0,9.0,1107.0,5.0,1114.0,41.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2085.8672,71.15272,1,55.0,55.0,1112.0545454545454,1092.6909090909091,8.0
5400,1098.0,6.0,1097.0,5.0,1091.0,39.0,1106.0,6.0,1107.0,5.0,1114.0,39.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2085.577,71.17349,1,50.0,50.0,1112.34,1092.44,8.0
5500,1097.0,10.0,1096.0,3.0,1089.0,56.0,1105.0,10.0,1106.0,3.0,1112.0,56.0,1101.0,109600.0,1100.75,0.9,9.5,-5.0,2085.2856,71.19424,1,69.0,69.0,1110.7246376811595,1090.463768115942,8.0
5600,1098.0,5.0,1097.0,2.0,1090.0,43.0,1106.0,5.0,1107.0,2.0,1113.0,43.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2084.9937,71.21495,1,50.0,50.0,1112.06,1091.08,8.0
5700,1099.0,7.0,1098.0,5.0,1091.0,55.0,1107.0,7.0,1108.0,5.0,1114.0,55.0,1103.0,109600.0,1102.75,0.9,9.5,-5.0,2084.701,71.23563,1,67.0,67.0,1112.8208955223881,1092.358208955224,8.0
5800,1099.0,10.0,1098.0,4.0,1091.0,53.0,1107.0,10.0,1108.0,4.0,1115.0,53.0,1103.0,109600.0,1103.0,0.9,9.5,-5.0,2084.4072,71.25626,1,67.0,67.0,1113.3880597014925,1092.6119402985075,8.0
5900,1098.0,9.0,1097.0,5.0,1090.0,52.0,1106.0,9.0,1107.0,5.0,1113.0,52.0,1102.0,109600.0,1101.75,0.9,9.5,-5.0,2084.1125,71.27687,1,66.0,66.0,1111.590909090909,1091.621212121212,8.0
6000,1098.0,10.0,1096.0,4.0,1090.0,58.0,1105.0,10.0,1107.0,4.0,1113.0,58.0,1101.5,109600.0,1101.5,0.9,9.5,-5.0,2083.8171,71.29744,1,72.0,72.0,1111.5555555555557,1091.4444444444443,7.0
6100,1098.0,8.0,1097.0,5.0,1091.0,49.0,1106.0,8.0,1107.0,5.0,1114.0,49.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2083.521,71.31798,1,62.0,62.0,1112.4032258064517,1092.3870967741937,8.0
6200,1100.0,9.0,1099.0,2.0,1093.0,43.0,1108.0,9.0,1109.0,2.0,1116.0,43.0,1104.0,109600.0,1104.25,0.9,9.5,-5.0,2083.2239,71.33848,1,54.0,54.0,1114.4074074074074,1094.388888888889,8.0
6300,1100.0,9.0,1099.0,2.0,1092.0,46.0,1108.0,9.0,1109.0,2.0,1116.0,46.0,1104.0,109600.0,1104.0,0.9,9.5,-5.0,2082.926,71.35895,1,57.0,57.0,1114.4912280701753,1093.5087719298247,8.0
6400,1098.0,7.0,1097.0,4.0,1091.0,48.0,1106.0,7.0,1107.0,4.0,1114.0,48.0,1102.0,109600.0,1102.25,0.9,9.5,-5.0,2082.6274,71.37939,1,59.0,59.0,1112.5762711864406,1092.2372881355932,8.0
6500,1097.0,9.0,1096.0,4.0,1090.0,46.0,1105.0,9.0,1106.0,4.0,1113.0,46.0,1101.0,109600.0,1101.25,0.9,9.5,-5.0,2082.328,71.39979,1,59.0,59.0,1111.3050847457628,1091.4745762711864,8.0
6600,1097.0,10.0,1096.0,4.0,1089.0,48.0,1105.0,10.0,1106.0,4.0,1113.0,48.0,1101.0,109600.0,1101.0,0.9,9.5,-5.0,2082.0276,71.42015,1,62.0,62.0,1111.258064516129,1090.741935483871,8.0
6700,1096.0,9.0,1095.0,2.0,1088.0,51.0,1104.0,9.0,1105.0,2.0,1111.0,51.0,1100.0,109600.0,1099.75,0.9,9.5,-5.0,2081.7263,71.44048,1,62.0,62.0,1109.7903225806451,1089.3870967741937,8.0
6800,1094.0,5.0,1093.0,5.0,1087.0,50.0,1102.0,5.0,1103.0,5.0,1110.0,50.0,1098.0,109600.0,1098.25,0.9,9.5,-5.0,2081.4243,71.460785,1,60.0,60.0,1108.75,1088.0833333333333,8.0
6900,1095.0,5.0,1094.0,5.0,1088.0,41.0,1103.0,5.0,1104.0,5.0,1111.0,41.0,1099.0,109600.0,1099.25,0.9,9.5,-5.0,2081.1216,71.48105,1,51.0,51.0,1109.5294117647059,1089.2745098039215,8.0
7000,1095.0,10.0,1094.0,3.0,1087.0,48.0,1103.0,10.0,1104.0,3.0,1111.0,48.0,1099.0,109600.0,1099.0,0.9,9.5,-5.0,2080.8179,71.50128,1,61.0,61.0,1109.344262295082,1088.655737704918,8.0
7100,1095.0,6.0,1094.0,5.0,1087.0,49.0,1103.0,6.0,1104.0,5.0,1111.0,49.0,1099.0,109600.0,1099.0,0.9,9.5,-5.0,2080.5134,71.52148,1,60.0,60.0,1109.6166666666666,1088.3833333333334,8.0
7200,1096.0,8.0,1095.0,3.0,1089.0,38.0,1104.0,8.0,1105.0,3.0,1112.0,38.0,1100.0,109600.0,1100.25,0.9,9.5,-5.0,2080.2083,71.54164,1,49.0,49.0,1110.265306122449,1090.5102040816328,8.0
7300,1096.0,8.0,1095.0,3.0,1089.0,44.0,1104.0,8.0,1105.0,3.0,1112.0,44.0,1100.0,109600.0,1100.25,0.9,9.5,-5.0,2079.9023,71.561775,1,55.0,55.0,1110.4545454545455,1090.3454545454545,8.0
