ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,sunlight_d1,sunlight_d2,sunlight_d3,humidity_d1,humidity_d2,humidity_d3,time_of_day,sun_gt_2500,sun_lt_2500,hum_out_bounds,hum_in_bounds,hum_gt_70,hum_lt_70,arbitrage,avg_sun,avg_hum,total_sunlight,sun_time_under_2500,sun_time_over_2500
1200.0,1.5,10.5,-2.0,2500.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,0,0.5,2500.0,79.0,3.0000001200000046,1,0
1201.75,1.5,9.5,-2.0,2499.4197,79.0041,-0.5803000000000793,0.0,0.0,0.004099999999993997,0.0,0.0,1,0,1,0,1,1,0,0.5,2499.70985,79.00205,5.999303879972155,2,0
1201.75,1.5,9.5,-2.0,2498.8457,79.00821,-0.5740000000000691,0.006300000000010186,0.0,0.004110000000011382,1.0000000017384991e-05,0.0,2,0,1,0,1,1,0,0.5,2499.4218,79.00410333333333,8.997918839916753,3,0
1201.75,1.5,9.5,-2.0,2498.278,79.01234,-0.5677000000000589,0.006300000000010186,0.0,0.004129999999989309,1.9999999977926564e-05,9.999999960541572e-06,3,0,1,0,1,1,0,0.5,2499.1358499999997,79.0061625,11.995852559834102,4,0
1201.75,1.5,9.5,-2.0,2497.7166,79.01649,-0.561399999999594,0.006300000000464934,4.547473508864641e-13,0.004150000000009868,2.0000000020559128e-05,4.263256414560601e-14,4,0,1,0,1,1,0,0.5,2498.852,79.008228,14.993112599724505,5,0
1200.25,1.5,9.5,-2.0,2497.1614,79.02066,-0.5552000000002408,0.006199999999353167,-0.00010000000111176632,0.0041700000000020054,1.9999999992137418e-05,-2.842170943040401e-14,5,0,1,0,1,1,0,0.5,2498.5702333333334,79.0103,17.989706399588258,6,0
1201.75,1.5,9.5,-2.0,2496.6125,79.02485,-0.5488999999997759,0.006300000000464934,0.00010000000111176632,0.004189999999994143,1.9999999992137418e-05,0.0,6,0,1,0,1,1,0,0.5,2498.290557142857,79.01237857142857,20.985641519425663,7,0
1202.75,1.5,9.5,-2.0,2496.0698,79.02906,-0.542699999999968,0.006199999999807915,-0.00010000000065701897,0.004210000000000491,2.0000000006348273e-05,1.4210854715202004e-14,7,0,1,0,1,1,0,0.5,2498.0129625,79.01446375,23.980925399237016,8,0
1204.75,1.5,9.5,-2.0,2495.5334,79.03329,-0.5364000000004125,0.006299999999555439,9.999999974752427e-05,0.0042299999999926285,1.9999999992137418e-05,-1.4210854715202004e-14,8,0,1,0,1,1,0,0.5,2497.7374555555557,79.01655555555556,26.975565599022623,9,0
1204.25,1.5,9.5,-2.0,2495.0032,79.03754,-0.5301999999996951,0.006200000000717409,-9.999999883802957e-05,0.004250000000013188,2.0000000020559128e-05,2.842170943040401e-14,9,0,1,0,1,1,0,0.5,2497.46403,79.018654,29.969569558782784,10,0
1203.25,1.5,9.5,-2.0,2494.4792,79.04181,-0.5239999999998872,0.006199999999807915,-9.094947017729282e-13,0.004269999999991114,1.9999999977926564e-05,-4.263256414560601e-14,10,0,1,0,1,1,0,0.5,2497.192681818182,79.0207590909091,32.96294471851779,11,0
1202.75,1.5,9.5,-2.0,2493.9614,79.0461,-0.5178000000000793,0.006199999999807915,0.0,0.0042899999999974625,2.0000000006348273e-05,2.842170943040401e-14,11,0,1,0,1,1,0,0.5,2496.9234083333336,79.02287083333333,35.95569851822794,12,0
1201.75,1.5,9.5,-2.0,2493.45,79.0504,-0.5114000000003216,0.006399999999757711,0.0001999999999497959,0.004300000000000637,1.0000000003174137e-05,-1.0000000003174137e-05,12,0,1,0,1,1,0,0.5,2496.656223076923,79.02498846153846,38.94783863791355,13,0
1199.75,1.5,9.5,-2.0,2492.9446,79.054726,-0.5054000000000087,0.006000000000312866,-0.00039999999944484443,0.004326000000006047,2.6000000005410584e-05,1.6000000002236447e-05,13,0,1,0,1,1,0,0.5,2496.391107142857,79.02711257142857,41.93937227757489,14,0
1199.75,1.5,9.5,-2.0,2492.4453,79.05907,-0.49929999999994834,0.0061000000000603904,9.999999974752427e-05,0.004344000000003234,1.7999999997186933e-05,-8.000000008223651e-06,14,0,1,0,1,1,0,0.5,2496.1280533333334,79.02924306666667,44.93030675721227,15,0
1199.75,1.5,9.5,-2.0,2491.9521,79.06343,-0.49319999999988795,0.0061000000000603904,0.0,0.00435999999999126,1.5999999988025593e-05,-2.00000000916134e-06,15,0,1,0,1,1,0,0.5,2495.86705625,79.03137975,47.92064939682598,16,0
1199.75,1.5,9.5,-2.0,2491.4653,79.06782,-0.48680000000013024,0.006399999999757711,0.00029999999969732016,0.004390000000000782,3.000000000952241e-05,1.4000000021496817e-05,16,0,1,0,1,1,0,0.5,2495.608129411765,79.03352329411764,50.910407876416315,17,0
